FLJ00038	1	-	4558	7173
OR4F5	1	+	58953	59871
OR4F29	1	+	357521	358460
OR4F16	1	+	357521	358458
OR4F3	1	+	357521	358458
OR4F29	1	-	610958	611897
OR4F16	1	-	610960	611897
OR4F3	1	-	610960	611897
SAMD11	1	+	850983	869825
NOC2L	1	-	869458	884494
KLHL17	1	+	885829	890958
PLEKHN1	1	+	891739	900341
HES4	1	-	924207	925333
ISG15	1	+	938741	939776
AGRIN	1	+	945365	981355
C1orf159	1	-	1007067	1041332
hsa-mir-200b	1	+	1092347	1092441
hsa-mir-200a	1	+	1093106	1093195
hsa-mir-429	1	+	1094248	1094330
TTLL10	1	+	1104939	1111104
TNFRSF18	1	-	1128751	1131952
TNFRSF4	1	-	1136569	1139375
SDF4	1	-	1142151	1157244
SDF4	1	-	1142176	1157274
B3GALT6	1	+	1157491	1160281
UBE2J2	1	-	1179156	1199097
SCNN1D	1	+	1207438	1217272
CENTB5	1	-	1218806	1228503
PUSL1	1	+	1233856	1236919
CPSF3L	1	-	1236827	1249909
MGC10334	1	+	1250005	1254138
TAS1R3	1	+	1256588	1259706
DVL1	1	-	1260521	1274623
DVL1	1	-	1260521	1274355
DVL1	1	-	1260521	1274378
MXRA8	1	-	1277934	1283778
AURKAIP1	1	-	1298972	1300443
CCNL2	1	-	1310954	1324553
CCNL2	1	-	1310954	1324552
MRPL20	1	-	1327159	1332524
VWA1	1	+	1360771	1366008
ATAD3C	1	+	1387909	1395401
ATAD3B	1	+	1397026	1421444
ATAD3A	1	+	1437417	1459927
SSU72	1	-	1466916	1500125
MIB2	1	+	1540746	1555847
MMP23B	1	+	1557422	1559892
CDC2L2	1	-	1560962	1640729
CDC2L1	1	-	1560962	1645635
CDC2L2	1	-	1624179	1645623
CDC2L2	1	-	1624179	1645635
SLC35E2	1	-	1653540	1667291
NADK	1	-	1672537	1699769
GNB1	1	-	1706589	1812355
CALML6	1	+	1836125	1838593
TMEM52	1	-	1838889	1840567
LOC339457	1	-	1843256	1849228
GABRD	1	+	1940702	1952050
PRKCZ	1	+	1971768	2106692
PRKCZ	1	+	1994945	2106692
PRKCZ	1	+	2026014	2106692
C1orf86	1	-	2105776	2116074
SKI	1	+	2149993	2229316
MORN1	1	-	2242555	2312853
RER1	1	+	2313073	2326734
PEX10	1	-	2326102	2333870
PLCH2	1	+	2397613	2426824
PANK4	1	-	2429834	2447895
HES5	1	-	2450045	2451544
TNFRSF14	1	-	2479152	2486613
C1orf93	1	+	2508108	2512762
MMEL1	1	-	2511940	2554289
ACTRT2	1	+	2927905	2929325
PRDM16	1	+	2975603	3345043
ARHGEF16	1	+	3369981	3387535
MEGF6	1	-	3394369	3517919
hsa-mir-551a	1	-	3467119	3467214
FAM79A	1	+	3531415	3536552
WDR8	1	-	3537199	3556497
TP73	1	+	3558988	3639716
KIAA0495	1	-	3643573	3653050
CCDC27	1	+	3658821	3678069
LRRC47	1	-	3686643	3702928
KIAA0562	1	-	3721203	3763657
DFFB	1	+	3763704	3791852
C1orf174	1	-	3795562	3806709
AJAP1	1	+	4614964	4737714
AJAP1	1	+	4614964	4743710
NPHP4	1	-	5845456	5975118
KCNAB2	1	+	6008966	6083110
CHD5	1	-	6084439	6162770
RPL22	1	-	6167667	6182266
RNF207	1	+	6188121	6190953
C1orf188	1	+	6191506	6203446
ICMT	1	-	6203841	6218631
HES3	1	+	6226231	6228681
GPR153	1	-	6231442	6243622
ACOT7	1	-	6246919	6343351
ACOT7	1	-	6246919	6376413
ACOT7	1	-	6246919	6368470
ACOT7	1	-	6246919	6341591
HES2	1	-	6397882	6402566
ESPN	1	+	6407434	6443590
TNFRSF25	1	-	6443807	6448842
TNFRSF25	1	-	6446757	6448842
PLEKHG5	1	-	6448738	6468601
PLEKHG5	1	-	6448738	6473227
PLEKHG5	1	-	6448738	6474347
PLEKHG5	1	-	6448738	6480071
PLEKHG5	1	-	6448738	6502656
NOL9	1	-	6507796	6537168
TAS1R1	1	+	6538020	6562403
ZBTB48	1	+	6562697	6571926
KLHL21	1	-	6573371	6585516
PHF13	1	+	6596331	6606643
THAP3	1	+	6607838	6618232
DNAJC11	1	-	6616817	6684460
CAMTA1	1	+	6767970	7752350
VAMP3	1	+	7753915	7764078
PER3	1	+	7767349	7827823
UTS2	1	-	7830261	7836159
UTS2	1	-	7830261	7835682
TNFRSF9	1	-	7902494	7923474
PARK7	1	+	7944379	7967923
ERRFI1	1	-	7994381	8008943
RERE	1	-	8335052	8800286
RERE	1	-	8335052	8406334
ENO1	1	-	8843649	8861367
CA6	1	+	8928508	8957733
SLC2A7	1	-	8985945	9008991
SLC2A5	1	-	9019593	9052257
GPR157	1	-	9087062	9111816
hsa-mir-34a	1	-	9134314	9134423
H6PD	1	+	9217449	9253979
SPSB1	1	+	9275570	9352175
SLC25A33	1	+	9522114	9565417
RP13-15M17.2	1	+	9571566	9587593
PIK3CD	1	+	9634389	9711556
LOC644997	1	-	9635255	9637231
CLSTN1	1	-	9711666	9807137
FLJ16126	1	-	9808933	9810916
CTNNBIP1	1	-	9830920	9892903
LZIC	1	-	9912364	9925413
NMNAT1	1	+	9926072	9968142
RBP7	1	+	9979860	9998664
UBE4B	1	+	10015629	10163881
KIF1B	1	+	10193417	10364241
KIF1B	1	+	10193417	10289402
PGD	1	+	10381671	10402787
APITD1	1	+	10412745	10434795
APITD1	1	+	10412745	10425451
APITD1	1	+	10413386	10425451
CORT	1	+	10432557	10434544
DFFA	1	-	10443191	10455200
PEX14	1	+	10457589	10613400
CASZ1	1	-	10619252	10779294
SRG	1	-	10619774	10621138
CASZ1	1	-	10629856	10779294
C1orf127	1	-	10929119	10946845
TARDBP	1	+	10995265	11008135
MASP2	1	-	11009167	11029872
MASP2	1	-	11027442	11029872
SRM	1	-	11037235	11042678
EXOSC10	1	-	11049264	11082525
FRAP1	1	-	11089179	11245151
ANGPTL7	1	+	11171984	11178624
UBIAD1	1	+	11255865	11268925
FBXO2	1	-	11631036	11637326
FBXO44	1	+	11637018	11645970
FBXO44	1	+	11637500	11645970
FBXO6	1	+	11646767	11656994
MAD2L2	1	-	11657124	11663774
C1orf187	1	+	11674367	11702923
AGTRAP	1	+	11718728	11733414
MTHFR	1	-	11768373	11788702
CLCN6	1	+	11788880	11825772
NPPA	1	-	11828362	11830422
NPPB	1	-	11840108	11841579
KIAA2013	1	-	11902711	11909067
PLOD1	1	+	11917332	11958180
MFN2	1	+	11962955	11996152
IIP45	1	+	12002098	12014693
TNFRSF8	1	+	12046020	12126849
TNFRSF8	1	+	12108544	12126849
TNFRSF1B	1	+	12149646	12191863
VPS13D	1	+	12212699	12494683
DHRS3	1	-	12550526	12600407
AADACL4	1	+	12627152	12649683
C1orf158	1	+	12728749	12743688
